,DataDate,FullRevalPnL,TheoreticalPnL,UnexplainedPnL,DeltaPnL,GammaPnL,VegaPnL,IV,B,D,Current_opt_price,Previous_opt_Price,Underlying,LogReturn,VolLogReturn,Delta,Gamma,Vega,KS_Test_Stat,Spearman_Corr
0,2024-06-27,16.317047824540168,19.7485123266425,3.431464502102333,18.574451171777596,0.1291984301556271,1.044862724709281,0.17744479971778906,0.9721872312556498,0.9960613170339675,645.5967253647977,661.9137731893379,5482.8701,0.0040920067507687835,0.006168679314195756,0.8312828639154143,0.0003653144835978452,960.4677560349894,0.03462897526501767,0.9208558076351958
1,2024-06-26,-7.091658076521526,-3.5749347905270747,3.516723285994451,-4.15604017835556,0.006255411550082224,0.5748499762784027,0.17805545789611532,0.9721610029397529,0.9952690919476276,645.5967253647977,654.8221151128164,5477.8999,-0.0009069071498913357,0.0034354899376851577,0.8358126788983824,0.0003535520556505124,942.9801714434069,0.03462897526501767,0.9208558076351958
2,2024-06-25,-5.651996949343356,-6.8897052793899185,1.237708330046562,-7.153680454663331,0.018882104591813133,0.24509307068159877,0.1783118674846647,0.9721681641387783,0.9955467344471195,645.5967253647977,649.170118163473,5469.2998,-0.001571196653921752,0.0014390187569672012,0.8311605071386565,0.00035806000124370284,956.5535495429848,0.03462897526501767,0.9208558076351958
3,2024-06-24,-14.216704305657458,-16.728782134581202,2.5120778289237435,-17.789998165096232,0.11842157675153916,0.9427944537634907,0.1792904731358764,0.9720680512248961,0.996011896191804,645.5967253647977,634.9534138578156,5447.8701,-0.003925875977027237,0.0054731638075927935,0.8285287780571311,0.00036223016317739077,966.0471511328662,0.03462897526501767,0.9208558076351958
4,2024-06-21,12.865452793896566,13.50874751402924,0.6432947201326744,13.731386422285148,0.07319067039125896,-0.2958295786471665,0.17899233832731673,0.9724297429316651,0.9961863114237012,645.5967253647977,647.8188666517121,5464.6201,0.0030698791655366883,-0.0016642432616527526,0.8210438719514496,0.0003726377677024449,991.4425973507676,0.03462897526501767,0.9208558076351958
5,2024-06-20,7.685874597219026,8.248406454159358,0.5625318569403319,7.067778582499924,0.0188016833803068,1.1618261882791274,0.18019120502706357,0.9720332177220549,0.9957164171163603,645.5967253647977,655.5047412489312,5473.1699,0.0015633508672877787,0.006675534968086223,0.8273066237261304,0.0003638281082602891,972.3455807475476,0.03462897526501767,0.9208558076351958
6,2024-06-19,14.136456305534466,9.502841895490537,4.633614410043929,11.46819329579564,0.04885022406968635,-2.014201624374791,0.17812150994573042,0.9723954452682725,0.9970268616796529,645.5967253647977,669.6411975544656,5487.0298,0.0025291340974245746,-0.011552579708256945,0.8284841758574096,0.0003585163158123396,967.5877882650713,0.03462897526501767,0.9208558076351958
7,2024-06-18,-4.705691548073901,-0.49639138423214896,4.2093001638417515,0.0,0.0,-0.49639138423214896,0.1775922155147876,0.9721927154150395,0.9959367738044757,645.5967253647977,664.9355060063917,5487.0298,0.0,-0.002975959507278432,0.8387383628299853,0.0003492366705560633,936.4419254822545,0.03462897526501767,0.9208558076351958
8,2024-06-17,-15.57562901007077,-13.273842262579956,2.301786747490814,-11.561484512954431,0.048105224380791144,-1.7604629740063162,0.1757283862323976,0.9720973074414637,0.9953534184320103,645.5967253647977,649.359876996321,5473.23,-0.0025181533182552745,-0.010550455093971407,0.8367469042100434,0.0003514497264521,939.5757014615805,0.03462897526501767,0.9208558076351958
9,2024-06-14,-39.97517101676294,-37.26761661166576,2.7075544050971843,-34.79391661479262,0.44818110196745686,-2.921881098840594,0.1726814106690133,0.9724888012058082,0.9951167827831815,645.5967253647977,609.384705979558,5431.6001,-0.00763516750932315,-0.017491203021749228,0.8326089021617276,0.00036116163872509217,950.606845835617,0.03462897526501767,0.9208558076351958
10,2024-06-13,-2.030870202295773,-2.938140397054126,0.907270194758353,1.7527129352069684,0.0012364527299812908,-4.692089784991076,0.16801441609640663,0.9720443535343679,0.9948972060652044,645.5967253647977,607.3538357772622,5433.7402,0.00039393152328157305,-0.027398554101395783,0.819147799159346,0.00038933362565569685,991.7291566476164,0.03462897526501767,0.9208558076351958
11,2024-06-12,-11.608218108548954,-12.238293286170926,0.630075177621972,-10.511495986699217,0.043853051289990196,-1.7706503507616977,0.16619206189538446,0.9719552009475911,0.9949611490481949,645.5967253647977,595.7456176687133,5421.0298,-0.0023419023727244666,-0.01090566690105945,0.8260320006274557,0.0003896007130234527,966.3490726021301,0.03462897526501767,0.9208558076351958
12,2024-06-11,-38.25770509766426,-38.27459090153573,0.016885803871474536,-37.81116905136644,0.5798056410301693,-1.0432274911994572,0.16512314442647,0.9719426780709886,0.9949650479060647,645.5967253647977,557.487912571049,5375.3198,-0.008467727485612149,-0.006452593526042606,0.8237044983014763,0.00039837361751305457,972.8243644585905,0.03462897526501767,0.9208558076351958
13,2024-06-10,-12.403783026540168,-12.766442249753485,0.362659223213317,-11.72924845184168,0.06137144451598983,-1.0985652424277932,0.16405530095257118,0.9719540443456992,0.9950622599480601,645.5967253647977,545.0841295445089,5360.79,-0.0027067176363694927,-0.006487953477285643,0.8061631187195405,0.00042985660831640517,1025.4398174446544,0.03462897526501767,0.9208558076351958
14,2024-06-07,-15.67647818769774,-12.982834492007909,2.693643695689831,-11.07408985402161,0.056330478182699845,-1.9650751161689988,0.1621740817510901,0.9722517150882062,0.9947030524910884,645.5967253647977,529.4076513568111,5346.9902,-0.002577529120385359,-0.011533234918660366,0.8014485872011806,0.00044057503899779264,1038.5747270073846,0.03462897526501767,0.9208558076351958
