DataDate,European_FullRevalPnL,European_TheoreticalPnL,European_UnexplainedPnL,European_DeltaPnL,European_GammaPnL,European_VegaPnL,Asian_FullRevalPnL,Asian_TheoreticalPnL,Asian_UnexplainedPnL,Asian_DeltaPnL,Asian_GammaPnL,Asian_VegaPnL,Lookback_FullRevalPnL,Lookback_TheoreticalPnL,Lookback_UnexplainedPnL,Lookback_DeltaPnL,Lookback_GammaPnL,Lookback_VegaPnL,FullRevalPnL,TheoreticalPnL,UnexplainedPnL,DeltaPnL,GammaPnL,VegaPnL
2019-01-02,-0.000642581604965,-0.0008581818070455,0.0002156002020805,0.0006715665341561,0.0002106846225458,-0.0017404329637476,0.0014493085372562,-0.0001006000530645,0.0015499085903208,0.0,0.0,-0.0001006000530645,8.064373410315756,7.362217729800799,0.7021556805149576,7.120678432607767,0.8911676454157037,-0.6496283482226716,8.065180137248047,7.361258947940689,0.7039211893073589,7.121349999141923,0.8913783300382495,-0.6514693812394837
2019-01-03,0.0006763065436984,0.0005902257071192,8.608083657917246e-05,-0.0003631920918378,0.0001808912978025,0.0007725265011545,-0.0042397250853546,-0.0006647767497889,-0.0035749483355656,-0.0143374838570803,0.0132232841217337,0.0004494229855576,-11.496724968638748,-9.95599865816101,-1.540726310477739,-13.398065016294485,1.9647751356031864,1.4772912225302863,-11.500288387180404,-9.956073209203678,-1.5442151779767253,-13.412765692243402,1.9781793110227226,1.4785131720169984
2019-01-04,9.937654632728029e-06,2.2505081062692317e-05,1.2567426429964289e-05,-8.839751813610845e-05,1.1028574343803355e-05,9.98740248549974e-05,-0.0025060819722966,-0.0035332046462709,0.0010271226739743,-0.0068621485806435,0.0030805212079827,0.0002484227263897,-3.3815989438278464,-2.1069541819951247,-1.2746447618327217,-3.5604489702007784,0.1341776753453328,1.3193171128603212,-3.3840950881455103,-2.110464881560333,-1.2736050717323175,-3.567399516299558,0.1372692251276593,1.3196654096115659
2019-01-07,-0.0001368380894864,-0.0001417910274633,4.952937976932469e-06,-0.0001341405742065,1.8105958348181158e-05,-2.575641160500033e-05,-0.0114025156844935,-0.0113814902230765,-2.102546141705651e-05,-0.0153516605663467,0.0041796205508014,-0.0002094502075311,-4.040960708748813,-4.552442767686296,0.5114820589374833,-4.2521020075971245,0.1798386695317644,-0.4801794296209362,-4.0525000625227925,-4.563966048936836,0.5114659864140432,-4.2675878087376775,0.18403639604091396,-0.4804146362400723
2019-01-08,1.6209494176579534e-05,1.0673303853669005e-05,5.536190322910531e-06,-7.346932132482811e-05,5.622563911616935e-06,7.852006126688017e-05,-0.0079779741848334,-0.0093457318107809,0.0013677576259475,-0.0111472283525252,0.0015589578755235,0.0002425386662206,-2.3808219888217934,-1.9356247707073624,-0.445197218114431,-2.5008259839161453,0.0597114680633196,0.5054897451454632,-2.3887837535124503,-1.9449598292142896,-0.4438239242981606,-2.5120466815899953,0.06127604850275472,0.5058108038729506
2019-01-09,1.7803130435919273e-05,2.7255858758687932e-05,9.452728322768662e-06,-5.907290235124575e-05,3.781094997003432e-06,8.254766611293026e-05,-0.0100003041803641,-0.0095746613268927,-0.0004256428534713,-0.0104159691842624,0.0009200109417066,-7.870308433693458e-05,-2.077382955567046,-2.3917773817645083,0.3143944261974623,-2.1526946688143287,0.041663019884094,-0.2807457328342739,-2.087365456616974,-2.4013247872326424,0.31397823607231373,-2.1631697109009425,0.04258681192079761,-0.2807418882524979
2019-01-10,-3.825336770860166e-06,9.448211023004324e-06,1.3273547793864489e-05,3.768499772283161e-06,1.525595890260318e-08,5.664455291818559e-06,0.0015073036094391,0.0009957333891775,0.0005115702202615,0.000640129454365,3.753106857930525e-06,0.0003518508279546,0.1775071535403967,1.0896800400444695,-0.9121728865040728,0.1359158075403791,0.0001645579668791,0.9535996745372112,0.17901063181306495,1.09068522164467,-0.9116480427360174,0.13655970549451638,0.00016832632969593313,0.9539571898204576
2019-01-11,-5.785449425179702e-05,-6.874815700062696e-05,1.0893662748829944e-05,8.040321169144027e-05,6.147928286508152e-06,-0.0001552992969785,0.0129010394674767,0.011164056668474,0.0017369827990026,0.0097185715178211,0.0014307957950978,1.4689355555153277e-05,2.593046079419892,2.5383712760406345,0.0546748033792576,2.490124815424334,0.0606493531040236,-0.0124028924877228,2.605889264393117,2.549466584552108,0.05642267984100903,2.4999237901538467,0.062086296827407905,-0.012543502429146147
2019-01-14,-0.0023669734114841,-0.0045523390517737,0.0021853656402896,-0.0008365056053325,0.0001164708163055,-0.0038323042627468,-0.0267392205497975,-0.0261702662479472,-0.0005689543018503,-0.0326902787637171,0.0063630474693297,0.0001569650464402,-5.474134113077241,-6.563214997521243,1.0890808844440016,-5.759225473146596,0.2772060961902501,-1.0811956205648978,-5.5032403070385225,-6.593937602820963,1.090697295782441,-5.792752257515646,0.2836856144758853,-1.0848709597812045
2019-01-15,0.0020858928749932,0.0010978125679421,0.000988080307051,-5.799641843088485e-05,2.053000226156652e-06,0.0011537559861469,-0.0072754450534858,-0.0077872413478402,0.0005117962943543,-0.0082716714799741,0.000343575042276,0.0001408550898578,-1.2239143744690466,0.4619835018632572,-1.6858978763323038,-1.3221887789313436,0.0145115385451919,1.7696607422494088,-1.2291039266475392,0.4552940730833591,-1.6843979997308984,-1.3305184468297486,0.014857166587694056,1.7709553533254134
