Unnamed: 0,DataDate,OptionType,Strike,FullRevalPnL,TheoreticalPnL,UnexplainedPnL,DeltaPnL,GammaPnL,VegaPnL,IV,B,D,OptionPrice,Underlying,LogReturn,VolLogReturn,Delta,Gamma,Vega
12,2023-02-09,asian,3300.0,-8.51414994155266,-8.563226579575506,0.0490766380228464,-8.571736382585396,0.0106720739289516,-0.0021622709190619,0.1459441137694379,0.9512131163324938,0.987570110071266,789.0990781478321,4081.5,-0.0021928652588765,-0.0500921378490793,0.9556188523569428,3.166237075721545e-05,0.2813190988948744
13,2023-02-08,asian,3300.0,34.765346286493696,34.759660593043314,0.0056856934503812,34.58326338283103,0.1767742520597653,-0.0003770418474768,0.1442725137254348,0.950840704165469,0.9866215036443092,823.8644244343258,4117.8599,0.0088690187479873,-0.0115197984643664,0.955367797469236,3.57374155578541e-05,0.2242632387353408
14,2023-02-07,asian,3300.0,44.019349806590185,44.15876063635218,-0.1394108297619993,43.88802682469727,0.2697116733092031,0.0010221383457135,0.1499245941785447,0.9510564524943912,0.9847689028121684,867.883774240916,4164.0,0.0111425640954614,0.0384284946581511,0.9565096326581792,2.393875525339623e-05,0.1843625515588821
15,2023-02-06,asian,3300.0,-50.72466586617418,-50.63905761274635,-0.0856082534278286,-50.98463322234336,0.3462227609922256,-0.0006471513952139,0.1463803273547764,0.9513959471058582,0.9866760360445906,817.1591083747418,4111.0801,-0.012790358716411,-0.0239242457151425,0.9572951392300116,1.421942286563441e-05,0.1804241864367184
16,2023-02-03,asian,3300.0,24.369303786707405,24.298268662166254,0.0710351245411473,24.214187174954176,0.0839070634734943,0.0001744237385893,0.1472939069524603,0.9525643349233472,0.9863843233389532,841.5284121614492,4136.48,0.0061593925946608,0.006221741222191,0.9562601766294564,2.9116802605019965e-05,0.1915185888491628
17,2023-02-02,asian,3300.0,41.202322999212015,41.43274048696368,-0.2304174877516658,41.1961278387996,0.232783427901118,0.0038292202629613,0.1697474167278775,0.9537864755873544,0.9837572483389632,882.7307351606612,4179.7598,0.0104085961397345,0.1418815904969103,0.9568267543767336,1.983731418207508e-05,0.183231238953667
18,2023-02-01,asian,3300.0,-57.93068722917178,-57.96314557600846,0.0324583468366768,-58.3960866687483,0.4468458663533998,-0.0139047736135515,0.1276690562271647,0.9539434234417408,0.989142963057367,824.8000479314894,4119.21,-0.0145923833680035,-0.2848701307036556,0.9574281424973282,1.1170022664535957e-05,0.2875503058158562
0,2023-03-30,asian,3300.0,-55.97479948794671,-55.980853802945454,0.0060543149987424,-56.47392962746223,0.4931497254944785,-7.390097769906027e-05,0.1653139757114914,0.953012642544654,0.9859188976539228,762.0733622371032,4050.8301,-0.0143333324581134,-0.0011811003036789,0.9588085947814484,5.097390901428657e-05,0.3780427267681891
1,2023-03-29,asian,3300.0,-21.961769392147744,-21.96689985857984,0.0051304664320959,-22.05112146481559,0.0823733509577925,0.0018482552779611,0.1685440878078451,0.9532650734934858,0.9858902027033356,740.1115928449555,4027.8101,-0.0056989943195205,0.0193508154676421,0.9551870569788088,7.332331823443059e-05,0.5777675057919102
2,2023-03-28,asian,3300.0,-53.77788826371943,-53.79806117134029,0.0201729076208536,-54.29607687986013,0.4939517556366255,0.0040639528832146,0.1742887338294149,0.9535575705333929,0.9868893269741604,686.333704581236,3971.27,-0.0141368859732738,0.0335159494930409,0.953554916035592,6.795483966250059e-05,0.7194218334995373
3,2023-03-27,asian,3300.0,5.954235246200938,5.944400676372709,0.0098345698282287,5.93170913384381,0.007093804599812,0.0055977379290869,0.1794943921299129,0.95383661078336,0.986745269996026,692.287939827437,3977.53,0.00157508084093,0.0294306520515699,0.9483040013031666,0.0001238229843042,1.0912980094230158
4,2023-03-24,asian,3300.0,-6.200631772672068,-6.184497800822012,-0.0161339718500563,-6.211259615868983,0.0076085180613965,0.0191532969855737,0.196136022005935,0.9560087663883616,0.9859985595144988,686.0873080547649,3970.99,-0.0016455897389304,0.0886644425329122,0.9489528785143148,0.0001166109707844,1.2034918962473462
5,2023-03-23,asian,3300.0,-21.114693112313148,-21.06855644482785,-0.0461366674852996,-21.17149118291954,0.0915581189109803,0.0113766191807103,0.2034364563441783,0.9559235809352192,0.9848826813224212,664.9726149424517,3948.72,-0.0056239581242103,0.0365452939271756,0.9480048873570196,0.0001284187064521,1.587173482167795
6,2023-03-22,asian,3300.0,-11.09664646442286,-11.1153401094629,0.0186936450400381,-11.119182097027997,0.026142502346749,-0.0223005147816514,0.1920080256096245,0.954723757580032,0.9855875539559124,653.8759684780289,3936.97,-0.0029800838470392,-0.0578165310799963,0.9449047230085836,0.0001382847873398,1.895981411351908
7,2023-03-21,asian,3300.0,62.4810151490077,62.39657073967969,0.0844444093280145,61.63954431761008,0.7835997282458067,-0.0265733061761996,0.1769570398096006,0.9533960016583726,0.9867291799884632,716.3569836270366,4002.8701,0.0166002369045711,-0.0816301810301446,0.9431549057474224,0.0001273564377998,1.695412770038351
8,2023-03-20,asian,3300.0,-48.5919290695432,-48.63631339136884,0.044384321825639,-49.095991540090026,0.4363722492609244,0.0233058994602612,0.202660530924441,0.955256102139584,0.985739094799517,667.7650545574934,3951.5701,-0.0128986352176629,0.1356253276217157,0.9508910898212488,8.983103967933309e-05,0.9710849504908708
9,2023-03-17,asian,3300.0,-32.97089021077397,-32.91177452805419,-0.0591156827197849,-33.150738901382844,0.2274237690613507,0.0115406042673033,0.2089687045082841,0.9567854706781406,0.9865974829692704,634.7941643467194,3916.6399,-0.0088788757480829,0.0306521837620831,0.9448558227660508,0.0001303876927458,1.857795696552524
10,2023-03-16,asian,3300.0,41.20058667194655,41.08657707120207,0.114009600744481,40.78104673785022,0.3614947117169975,-0.0559643783651493,0.1862520617244086,0.9537377085913896,0.9856740707266934,675.994751018666,3960.28,0.0110806119813162,-0.1150835746983104,0.939682151236142,0.000143943316665,2.3271109537579897
11,2023-03-15,asian,3300.0,-64.10358417400369,-64.29210642568769,0.1885222516840059,-65.1860101261183,0.8657530027776261,0.028150697652986,0.2070311483382429,0.95693795512036,0.9857570410055896,611.8911668446623,3891.9299,-0.0174095769811575,0.1057683301494524,0.9454537494615552,0.0001255127623655,1.429000647638528
12,2023-03-14,asian,3300.0,25.565858250843803,25.596982591601197,-0.0311243407573904,25.51102456615817,0.1421216080612527,-0.0561635826182291,0.1854504409601419,0.9536508114370004,0.9847909150200816,637.4570250955061,3919.29,0.0070053620924282,-0.1100815752918002,0.9356906799924276,0.0001419651233033,2.464361846571968
13,2023-03-13,asian,3300.0,-59.31723716129443,-59.363130807214425,0.0458936459199961,-60.17702008888022,0.795400773687823,0.0184885079779702,0.1969840080285319,0.9576901958755862,0.986954272305816,578.1397879342117,3855.76,-0.0163423808013716,0.0603348662054655,0.9395241603272706,0.000148048789628,1.652363681332181
14,2023-03-10,asian,3300.0,5.507916866273376,5.34392673179046,0.1639901344829164,5.409665000686176,0.0077582751480559,-0.0734965440437725,0.1695505597005649,0.949134727391318,0.98480347456192,583.647704800485,3861.5901,0.0015109075093274,-0.1499713782621183,0.928586784349273,0.0002163617826105,2.487869326654556
15,2023-03-09,asian,3300.0,53.19883092053169,53.00488961182924,0.193941308702449,52.36654764852942,0.6836778359021427,-0.0453358726023222,0.143958031373372,0.9462742194182026,0.9839612043293952,636.8465357210167,3918.3201,0.0145839743752632,-0.1636293613601362,0.9298478222805188,0.0001903251769745,1.6341108595283875
16,2023-03-08,asian,3300.0,69.59841657506286,69.55897778429326,0.0394387907695943,68.58435166582915,1.008134753499948,-0.0335086350358348,0.1019491649723532,0.9451709895007012,0.9855630602588304,706.4449522960796,3992.01,0.018631847424141,-0.3450475018741346,0.9394403430298388,0.0001385446088654,0.674593187094414
17,2023-03-07,asian,3300.0,-5.152723676768801,-5.347283740036328,0.1945600632675272,-5.353603061048111,0.0056036636123705,0.0007156573994125,0.1131971525745956,0.9455235235709109,0.9855789610754052,701.2922286193108,3986.3701,-0.0014137960008769,0.104656705091666,0.9485665335554996,0.0001142238104104,0.0670740353223975
18,2023-03-06,asian,3300.0,58.9315601524728,59.05016156144286,-0.1186014089700648,58.39564714564267,0.6546764227162116,-0.0001620069160184,0.1119311074963588,0.9468944114261164,0.9858224116793244,760.2237887717836,4048.4199,0.0154455893874863,-0.0112474411213873,0.9484149119670504,0.0001074618527152,0.1272460541563379
19,2023-03-03,asian,3300.0,-2.528137055112325,-2.6520668757795174,0.1239298206671928,-2.653345075060786,0.0011964565369513,8.174274431712867e-05,0.1130898294601544,0.9472905782759602,0.9862220457725396,757.6956517166713,4045.6399,-0.0006869235409688,0.0102988834843261,0.9541129356467016,7.373794136187593e-05,0.0709101278364885
20,2023-03-02,asian,3300.0,-60.86556037150012,-61.19857009677274,0.3330097252726176,-61.84993201486383,0.6502171048482712,0.0011448132428069,0.1295803283907516,0.9474396515462052,0.9856642383193942,696.8300913451711,3981.3501,-0.0160187504223376,0.1361185314079585,0.954384478762284,7.373526563538063e-05,0.074369325149516
21,2023-03-01,asian,3300.0,-28.665229582449346,-28.36564924291976,-0.2995803395295802,-28.533839355774436,0.1665732617365601,0.0016168511181104,0.1367083954204852,0.9472561974204824,0.9856871798102828,668.1648617627218,3951.3899,-0.0075535924415833,0.0535491714818767,0.9488035356540268,0.0001300437398601,0.2330119526579913
0,2023-04-27,asian,3300.0,-32.82662216502149,-32.844060861725175,0.0174386967036852,-32.98577248794151,0.1423583848106969,-0.0006467585943674,0.1485200907029169,0.9520522904812944,0.9874940252354932,844.3670704732837,4135.3501,-0.0082193354308209,-0.0233429295077749,0.9625162267592824,1.1576105944206943e-05,0.1822484899985447
1,2023-04-26,asian,3300.0,-76.26829410232563,-76.29316257294657,0.0248684706209445,-77.09175802052314,0.7939945192549575,0.0046009283216182,0.1755961908427974,0.9531087750409604,0.9856416199282202,768.098776370958,4055.99,-0.0193771915617516,0.1674667487060462,0.9620659273843776,1.4665395314228932e-05,0.1849829379920192
